         in int              in bit       out real    out sim int         out sim bit          error
            -12            11110100         -128.0           -128            10000000            0.0
             14            00001110            0.5              1            00000001           -0.5
             30            00011110           80.5             81            01010001           -0.5
             -2            11111110           56.5             57            00111001           -0.5
            -15            11110001         -30.25            -30            11100010          -0.25
            -10            11110110          -47.5            -47            11010001           -0.5
             81            01010001         121.75            122            01111010          -0.25
             63            00111111          127.0            127            01111111            0.0
              1            00000001          127.0            127            01111111            0.0
             58            00111010          103.5            104            01101000           -0.5
           -127            10000001        -106.25           -106            10010110          -0.25
             42            00101010         -128.0           -128            10000000            0.0
            -19            11101101          50.75             51            00110011          -0.25
            110            01101110          127.0            127            01111111            0.0
            107            01101011          127.0            127            01111111            0.0
             33            00100001          127.0            127            01111111            0.0
            -17            11101111          36.25             37            00100101          -0.75
            -16            11110000          -62.0            -62            11000010            0.0
            -64            11000000         -128.0           -128            10000000            0.0
            -35            11011101         -128.0           -128            10000000            0.0
             18            00010010          -38.5            -38            11011010           -0.5
            -70            10111010          -86.5            -86            10101010           -0.5
            -13            11110011         -128.0           -128            10000000            0.0
           -127            10000001         -128.0           -128            10000000            0.0
            -37            11011011         -128.0           -128            10000000            0.0
            -22            11101010         -112.5           -112            10010000           -0.5
            -20            11101100          -79.0            -79            10110001            0.0
             59            00111011          63.25             64            01000000          -0.75
            111            01101111          127.0            127            01111111            0.0
             74            01001010          127.0            127            01111111            0.0
            125            01111101          127.0            127            01111111            0.0
             32            00100000          127.0            127            01111111            0.0
            -96            10100000         -104.0           -104            10011000            0.0
             65            01000001         -78.25            -78            10110010          -0.25
             26            00011010          127.0            127            01111111            0.0
             38            00100110          118.5            119            01110111           -0.5
             20            00010100          111.0            111            01101111            0.0
             95            01011111          127.0            127            01111111            0.0
             -7            11111001          127.0            127            01111111            0.0
            -66            10111110         -128.0           -128            10000000            0.0
            117            01110101          72.75             73            01001001          -0.25
           -115            10001101         -60.25            -60            11000100          -0.25
             95            01011111         -63.75            -63            11000001          -0.75
            -25            11100111          127.0            127            01111111            0.0
             80            01010000           90.0             90            01011010            0.0
             20            00010100          127.0            127            01111111            0.0
           -118            10001010         -128.0           -128            10000000            0.0
             38            00100110         -128.0           -128            10000000            0.0
            -85            10101011         -72.75            -72            10111000          -0.75
             46            00101110          -89.5            -89            10100111           -0.5
           -100            10011100          -83.0            -83            10101101            0.0
            -49            11001111         -128.0           -128            10000000            0.0
           -110            10010010         -128.0           -128            10000000            0.0
           -100            10011100         -128.0           -128            10000000            0.0
            -23            11101001         -128.0           -128            10000000            0.0
            -87            10101001         -128.0           -128            10000000            0.0
             51            00110011         -84.75            -84            10101100          -0.75
             32            00100000          127.0            127            01111111            0.0
             -7            11111001          51.75             52            00110100          -0.25
