         in int              in bit       out real    out sim int         out sim bit          error
            -32            11100000           42.0             42            00101010            0.0
             36            00100100           -1.0             -1            11111111            0.0
           -127            10000001         -128.0           -128            10000000            0.0
             33            00100001         -128.0           -128            10000000            0.0
             35            00100011          127.0            127            01111111            0.0
             50            00110010          127.0            127            01111111            0.0
             71            01000111          127.0            127            01111111            0.0
             56            00111000          127.0            127            01111111            0.0
             86            01010110          127.0            127            01111111            0.0
           -117            10001011         -32.75            -33            11011111           0.25
            -56            11001000         -128.0           -128            10000000            0.0
             25            00011001         -68.25            -68            10111100          -0.25
           -128            10000000         -128.0           -128            10000000            0.0
             93            01011101         -93.25            -93            10100011          -0.25
            -88            10101000           32.0             32            00100000            0.0
            -86            10101010         -128.0           -128            10000000            0.0
             70            01000110          -49.5            -50            11001110            0.5
            -62            11000010           31.5             31            00011111            0.5
            127            01111111          98.25             98            01100010           0.25
            119            01110111          127.0            127            01111111            0.0
             72            01001000          127.0            127            01111111            0.0
            -68            10111100           25.0             25            00011001            0.0
            115            01110011          65.25             65            01000001           0.25
           -119            10001001         -71.25            -71            10111001          -0.25
            105            01101001         -54.25            -54            11001010          -0.25
             -9            11110111         101.25            101            01100101           0.25
             82            01010010          125.5            125            01111101            0.5
              5            00000101          127.0            127            01111111            0.0
           -121            10000111         -128.0           -128            10000000            0.0
            -22            11101010         -128.0           -128            10000000            0.0
             94            01011110          120.5            120            01111000            0.5
            -63            11000001          77.75             78            01001110          -0.25
             57            00111001         -26.25            -26            11100110          -0.25
             23            00010111          127.0            127            01111111            0.0
            -59            11000101         -57.25            -57            11000111          -0.25
           -116            10001100         -128.0           -128            10000000            0.0
             42            00101010         -128.0           -128            10000000            0.0
             95            01011111          127.0            127            01111111            0.0
             28            00011100          127.0            127            01111111            0.0
            124            01111100          127.0            127            01111111            0.0
            -35            11011101          93.75             94            01011110          -0.25
           -121            10000111         -128.0           -128            10000000            0.0
           -118            10001010         -128.0           -128            10000000            0.0
             43            00101011         -128.0           -128            10000000            0.0
           -124            10000100         -128.0           -128            10000000            0.0
             35            00100011         -128.0           -128            10000000            0.0
             49            00110001          127.0            127            01111111            0.0
             89            01011001          127.0            127            01111111            0.0
            -22            11101010          127.0            127            01111111            0.0
            -25            11100111         -87.75            -88            10101000           0.25
             88            01011000          104.0            104            01101000            0.0
            108            01101100          127.0            127            01111111            0.0
            117            01110101          127.0            127            01111111            0.0
             57            00111001          127.0            127            01111111            0.0
            -22            11101010           75.5             75            01001011            0.5
             13            00001101         -21.25            -21            11101011          -0.25
            -95            10100001         -128.0           -128            10000000            0.0
             86            01010110          -39.5            -40            11011000            0.5
             18            00010010          127.0            127            01111111            0.0
            -37            11011011         -28.75            -29            11100011           0.25
            -15            11110001        -100.25           -100            10011100          -0.25
             28            00011100           19.0             19            00010011            0.0
             14            00001110           80.5             80            01010000            0.5
             -2            11111110           24.5             24            00011000            0.5
             95            01011111          127.0            127            01111111            0.0
            -48            11010000          106.0            106            01101010            0.0
             75            01001011          35.25             35            00100011           0.25
             18            00010010          127.0            127            01111111            0.0
            -55            11001001         -60.25            -60            11000100          -0.25
            107            01101011          77.25             77            01001101           0.25
             79            01001111          127.0            127            01111111            0.0
             47            00101111          127.0            127            01111111            0.0
              2            00000010           97.5             97            01100001            0.5
            -51            11001101         -85.25            -85            10101011          -0.25
            104            01101000           80.0             80            01010000            0.0
            -21            11101011          78.25             78            01001110           0.25
            -70            10111010         -128.0           -128            10000000            0.0
              2            00000010         -128.0           -128            10000000            0.0
             37            00100101          68.75             69            01000101          -0.25
             36            00100100          127.0            127            01111111            0.0
           -115            10001101         -128.0           -128            10000000            0.0
            -58            11000110         -128.0           -128            10000000            0.0
            -17            11101111         -128.0           -128            10000000            0.0
             35            00100011          27.25             27            00011011           0.25
             85            01010101          127.0            127            01111111            0.0
            -53            11001011          77.25             77            01001101           0.25
            -93            10100011         -128.0           -128            10000000            0.0
            -69            10111011         -128.0           -128            10000000            0.0
            -51            11001101         -128.0           -128            10000000            0.0
             73            01001001          25.75             26            00011010          -0.25
              2            00000010          127.0            127            01111111            0.0
           -114            10001110         -128.0           -128            10000000            0.0
            -53            11001011         -128.0           -128            10000000            0.0
            -17            11101111         -128.0           -128            10000000            0.0
             90            01011010          123.5            123            01111011            0.5
            -82            10101110           36.5             36            00100100            0.5
            -69            10111011         -128.0           -128            10000000            0.0
            109            01101101          52.75             53            00110101          -0.25
             72            01001000          127.0            127            01111111            0.0
             31            00011111          127.0            127            01111111            0.0
            108            01101100          127.0            127            01111111            0.0
           -123            10000101         -92.25            -92            10100100          -0.25
             96            01100000          -78.0            -78            10110010            0.0
            126            01111110          127.0            127            01111111            0.0
            -76            10110100           26.0             26            00011010            0.0
            -26            11100110         -128.0           -128            10000000            0.0
           -102            10011010         -128.0           -128            10000000            0.0
            -53            11001011         -128.0           -128            10000000            0.0
